Date,CMCSA,VZ,TMUS,T,QCOM,QQQ,SPY,IXP,IYZ,IXTC
3/13/2013,18.334562,37.33527,16.425419,27.468388,56.348774,64.463699,139.205368,44.277603,21.142164,217.259995
3/14/2013,18.592033,37.755806,16.734411,27.663527,56.196812,64.679726,139.946442,44.886314,21.281429,217.919998
3/15/2013,18.388765,37.397568,16.880775,27.340807,54.846146,64.499908,139.761734,44.510567,21.133461,218.809998
3/18/2013,18.235186,37.966091,16.669359,27.130671,54.500015,64.358681,138.990356,44.367783,21.089943,217.199997
3/19/2013,18.126776,38.121849,17.010878,27.123156,54.635086,64.236313,138.667511,44.480503,21.133461,216.179993
3/20/2013,18.510727,37.849262,17.189768,27.160688,55.496151,64.68821,139.636139,44.585716,21.185688,217.619995
3/21/2013,18.248739,38.005035,17.043402,27.130671,55.166916,63.953873,138.443298,44.615776,21.063826,212.990005
3/22/2013,18.619137,38.176369,17.14098,27.340807,55.64809,64.575226,139.55545,45.014065,21.142164,212.320007
3/25/2013,18.844982,38.285389,17.238558,27.31078,55.437069,64.339874,138.972458,44.94643,21.162296,212.660004
3/26/2013,18.732056,38.534607,17.352396,27.573469,56.239033,64.68821,140.084579,45.044125,21.232309,212.960007
3/27/2013,18.858532,38.114052,17.124718,27.483406,56.289669,64.772949,140.084579,44.811165,21.074774,212.630005
3/28/2013,18.962429,38.277607,17.72644,27.535938,56.509167,64.933006,140.515106,45.036606,21.267319,213.389999
4/1/2013,18.778633,38.332119,17.970385,27.956221,55.715645,64.490509,139.959015,44.984005,21.241064,212.440002
4/2/2013,19.196136,38.550175,17.921597,28.196381,55.926682,64.998909,140.649643,45.374775,21.284821,215.660004
4/3/2013,18.978308,38.153,17.824017,27.978735,55.690315,64.405777,139.223572,44.9314,21.258564,213.960007
4/4/2013,19.114449,38.394424,18.084223,28.451548,55.555241,64.424599,139.788605,45.367264,21.468613,213.399994
4/5/2013,18.860321,38.596916,18.246851,28.534111,55.006531,63.887955,139.160812,45.344719,21.626146,209.639999
4/8/2013,18.892084,38.899887,18.328165,28.57209,55.597454,64.226906,140.102478,45.525078,21.906214,210.479996
4/9/2013,18.733255,38.844799,18.198061,28.67841,55.681862,64.659958,140.586823,45.923367,22.01123,212.809998
4/10/2013,18.887545,39.238285,18.799786,28.997402,56.804619,65.921532,142.308914,46.374256,22.545109,217.210007
4/11/2013,18.973772,39.749821,18.393217,29.270811,56.585133,65.893288,142.775238,46.697392,22.606371,218.229996
4/12/2013,19.059996,40.025265,18.734735,29.308786,56.289669,65.846222,142.425446,46.810116,22.746403,217.830002
4/15/2013,18.674255,39.852119,17.970385,28.822714,55.285103,64.546989,139.124908,46.156322,22.431328,212.820007
4/16/2013,18.792246,39.710472,17.970385,28.815117,55.555241,65.403732,141.178757,46.471954,22.632631,214.350006
4/17/2013,18.433741,38.98645,17.921597,28.6936,54.221447,64.123314,139.115952,45.915848,22.282547,210.190002
4/18/2013,18.14784,40.064602,18.198061,28.663219,53.723381,63.238338,138.245972,46.201412,22.466335,209.880005
4/19/2013,18.406509,41.119148,18.084223,29.073345,53.968201,64.104507,139.4478,46.63728,22.81642,209.740005
4/22/2013,18.365667,41.071926,18.572107,29.415115,54.516911,64.763504,140.066666,46.922836,22.895184,210.690002
4/23/2013,18.560808,41.174232,19.0112,29.620174,55.166916,65.384903,141.51062,47.140774,23.245264,213.770004
4/24/2013,18.456425,40.765011,19.141304,28.131575,55.715645,65.356636,141.600342,46.877747,22.982704,211.110001
4/25/2013,18.492735,41.882504,19.434034,28.313852,52.710369,65.704987,142.174332,47.448883,23.464067,214.289993
4/26/2013,18.774094,42.205166,19.336458,28.131575,51.933727,65.497879,141.923203,47.388763,23.280273,214.259995
4/29/2013,18.82855,42.071377,19.434034,28.329039,52.009705,66.10041,142.873917,47.704388,23.341537,216.399994
4/30/2013,18.742325,42.42551,19.255144,28.450563,52.001266,66.580551,143.214691,48.035038,23.455315,216.830002
5/1/2013,18.996464,41.23719,16.212791,28.526516,52.271393,66.269875,141.959076,47.779533,23.148994,212.630005
5/2/2013,19.109917,41.3395,17.390474,28.526516,53.090248,67.107796,143.277496,47.689358,23.245264,214.229996
5/3/2013,19.305054,41.457546,17.174566,28.359421,53.833115,67.898605,144.730453,47.944862,23.262766,215.759995
5/6/2013,19.413963,40.961758,17.311962,28.169552,53.909096,68.162224,145.098145,47.644264,23.271524,216.279999
5/7/2013,19.536489,41.646416,17.576942,28.49614,54.001961,68.12455,145.833649,47.869717,23.394049,214.070007
5/8/2013,19.640867,41.795937,17.439547,28.731575,54.12859,68.454063,146.497345,48.268005,23.665361,216.520004
5/9/2013,19.495649,41.481152,17.940063,28.351831,54.120152,68.359932,146.084747,47.922321,23.464067,216.330002
5/10/2013,19.550108,41.622799,18.293367,28.374622,54.567558,68.774185,146.560074,48.162792,23.682863,218.949997
5/13/2013,19.600027,41.35524,18.568161,28.101194,54.719509,68.858902,146.676666,47.944862,23.604094,219.089996
5/14/2013,19.663565,41.843155,18.627045,28.275881,55.141594,69.216675,148.192459,48.132736,23.84915,219.720001
5/15/2013,19.845087,42.181564,18.901838,28.503727,55.327316,69.357872,148.990631,48.328121,23.980431,219.809998
5/16/2013,19.454809,41.866772,19.323841,28.389797,55.411724,69.282578,148.291107,48.102676,23.84915,232.429993
5/17/2013,19.350437,41.98481,19.549564,28.435369,56.230579,69.951004,149.726074,48.207886,24.050446,234.580002
5/20/2013,18.842165,41.504772,20.148222,28.268284,55.800041,69.847466,149.717117,48.177818,23.989182,232.940002
5/21/2013,19.164368,40.977497,20.472084,28.055628,55.513031,69.922768,149.932404,48.027523,24.050446,233.279999
5/22/2013,18.960154,40.50531,19.68696,27.812593,55.06562,69.310814,148.820267,47.32864,23.525324,227.509995
5/23/2013,18.978308,40.835835,20.001009,27.903732,53.951313,69.150757,148.389709,47.223438,23.604094,228.229996
5/24/2013,19.037306,40.442356,20.158035,27.911324,54.24678,69.113106,148.264221,46.930355,23.674112,228.679993
5/28/2013,18.978308,39.993778,20.177662,27.478413,54.08638,69.565018,149.152084,46.802605,23.481565,230.690002
5/29/2013,18.510889,39.010071,20.589851,27.273355,54.120152,69.235489,148.183472,46.276566,22.991461,230.880005
5/30/2013,18.583496,38.624462,20.962786,26.96196,54.179234,69.602669,148.730576,46.126263,23.131489,233.029999
5/31/2013,18.229519,38.15226,21.031485,26.574625,53.588306,68.962486,146.595978,45.344719,22.921442,230.279999
6/3/2013,18.361128,38.29393,20.442642,26.635376,53.673199,69.084854,147.403214,45.17939,22.938946,231.220001
6/4/2013,18.569881,38.435577,20.432827,27.091072,54.08065,68.727097,146.694641,45.495014,22.781412,230.919998
6/5/2013,18.238598,38.010616,19.991198,26.779682,53.605293,67.832718,144.640762,44.984005,22.580114,229.199997
6/6/2013,18.261292,39.32486,20.275803,27.197405,53.452492,68.162224,145.950226,45.690399,22.947697,232.649994
6/7/2013,18.687876,39.537334,20.913715,26.923986,52.713989,69.094292,147.806824,45.938393,22.938946,233.660004
6/10/2013,18.456425,39.765549,20.805761,27.334112,52.654568,69.122528,147.806824,46.156322,23.052721,233.429993
6/11/2013,18.224983,39.49012,21.041298,27.159424,52.340492,68.435272,146.282089,45.900826,22.790159,230.929993
6/12/2013,17.934544,39.269775,20.9039,27.053097,51.873623,67.644417,145.071304,45.712952,22.658878,228.479996
6/13/2013,18.038927,39.852119,21.433859,27.569548,52.595139,68.501152,147.277618,46.163837,23.122734,232.160004
6/14/2013,18.034384,40.190525,21.74791,27.273355,52.102818,68.04924,146.353851,45.870758,23.070227,230.259995
6/17/2013,18.188681,39.907219,21.904934,27.159424,52.688522,68.70829,147.483932,46.1413,22.842674,233.550003
6/18/2013,18.329363,40.568283,22.061958,27.470812,52.951672,69.27314,148.649826,46.517033,23.026466,235.410004
6/19/2013,18.247673,39.38781,21.816607,26.772083,52.552715,68.501152,146.595978,45.457443,22.518848,232.529999
6/20/2013,17.657722,38.530018,22.50359,26.088547,51.712345,66.872406,142.963577,44.262581,22.028742,229.130005
6/21/2013,18.048,38.970722,22.395636,26.17968,51.500122,66.517319,143.422516,44.555656,22.116262,229.380005
6/24/2013,18.05254,38.65593,21.826422,26.172081,50.829525,65.856186,141.610291,44.112282,21.801191,226.039993
6/25/2013,18.229519,39.694733,22.591917,26.604996,52.467831,66.337875,142.97171,44.854729,22.177525,227.539993
6/26/2013,18.238598,39.867867,23.200386,26.832848,52.009445,66.932877,144.387268,45.062389,22.329512,229.660004
6/27/2013,18.288519,40.135433,24.093464,27.060698,51.848152,67.216202,145.234802,45.631535,22.797834,232.699997
6/28/2013,18.946543,39.616035,24.348629,26.886011,51.85664,67.310631,144.639725,45.677681,22.84202,229.399994
7/1/2013,18.538475,39.631779,23.278898,26.810059,51.746288,67.726181,145.487259,45.723827,22.806669,229.970001
7/2/2013,18.579512,39.844257,22.935408,26.984747,51.712345,67.754547,145.35202,45.669994,22.797834,229.220001
7/3/2013,18.761889,40.143295,22.621357,27.053097,51.70385,68.028412,145.415131,45.708447,22.939219,230.889999
7/5/2013,19.012657,40.371525,23.023733,27.212593,51.737812,68.547859,146.983932,45.716137,23.089436,231.649994
7/8/2013,19.336369,40.677589,22.896151,27.366426,50.922905,68.613983,147.822464,45.877651,23.151291,231.919998
7/9/2013,19.45492,40.510643,23.642019,27.381798,50.413582,69.029533,148.886414,45.954563,23.292673,234.509995
7/10/2013,19.564339,40.176758,23.965881,27.220282,51.304886,69.426193,148.940552,45.993023,23.495909,236.600006
7/11/2013,20.271048,40.709385,24.495838,27.589472,52.034908,70.805084,150.969193,46.839043,23.81402,240.880005
7/12/2013,20.371351,40.073418,24.476212,27.543329,52.646076,71.116768,151.032272,46.608311,23.875872,242.279999
7/15/2013,20.129702,39.715683,24.868773,27.343349,52.017929,71.277313,151.609344,46.616001,24.936235,243.529999
7/16/2013,20.056751,39.970074,23.916813,27.59717,52.501781,71.182869,151.04129,46.616001,25.059946,242.029999
7/17/2013,20.002043,40.335758,24.044394,27.658703,53.180866,71.362297,151.429016,46.74675,25.077621,242.460007
7/18/2013,20.216333,39.723637,24.093464,27.489489,51.882114,71.182869,152.25853,46.74675,25.095291,243.179993
7/19/2013,20.321198,39.707745,24.103277,27.543329,52.170715,70.446198,152.529007,46.923641,25.104126,243.360001
7/22/2013,20.485338,39.962124,24.054209,27.366426,52.807362,70.653969,152.826553,47.223606,25.22784,243.550003
7/23/2013,20.581087,40.033672,23.7696,27.543329,52.883762,70.134544,152.501953,47.654301,25.174822,242.479996
7/24/2013,20.499012,40.049568,23.759787,27.227974,52.111298,70.361191,151.942917,47.477413,25.051109,241.880005
7/25/2013,20.138824,40.311905,23.956068,27.274122,53.834476,70.805084,152.312622,47.546631,25.068783,242.300003
7/26/2013,19.93821,40.558338,23.720531,27.381798,54.844627,71.182869,152.47493,47.592777,24.94507,241.649994
7/29/2013,19.78775,40.931969,23.494808,27.59717,54.530548,71.050644,152.006042,47.462029,24.980419,240.529999
7/30/2013,19.47315,40.08136,23.337784,27.243355,54.759735,71.428421,152.006042,47.262054,24.839035,242.479996
7/31/2013,20.553726,39.334118,23.661648,27.127983,54.802177,71.560646,152.114258,47.077473,24.679981,242.169998
8/1/2013,20.900242,39.755432,23.779415,27.474104,55.404861,72.287872,153.872437,47.73122,24.794859,245.020004
8/2/2013,20.845528,39.946224,24.260302,27.512558,56.661179,72.693977,154.133911,47.808128,24.777182,246.580002
8/5/2013,20.804493,39.914421,24.240675,27.435644,56.236744,72.741196,153.908493,47.792744,25.059946,248.059998
8/6/2013,20.512693,39.819031,23.612576,27.289507,55.676495,72.306763,153.033905,47.638924,24.847874,246.779999
8/7/2013,20.599323,39.691845,23.563507,27.374111,55.353931,72.174538,152.53804,47.608154,24.839035,246.449997
8/8/2013,20.489893,39.445396,24.535095,27.14337,56.321625,72.533432,153.097046,47.815815,24.706495,247.330002
8/9/2013,20.343992,39.206921,24.760818,26.766479,56.253712,72.240662,152.655258,47.69276,24.68882,246.75
8/12/2013,20.416946,39.469257,24.54491,26.858776,56.415012,72.410645,152.47493,47.531246,24.697657,249.050003
8/13/2013,20.448864,39.071789,24.54491,26.70495,57.085602,72.81675,152.925766,47.69276,24.565107,249.570007
8/14/2013,19.99748,38.865089,23.946253,26.74341,56.839428,72.54287,152.141312,47.500481,24.432564,249.389999
8/15/2013,19.609934,38.586868,23.691088,26.420368,56.830948,71.315086,150.013474,47.231293,24.167471,238.509995
8/16/2013,19.395643,37.927055,23.406481,26.289616,56.788498,71.286766,149.517593,47.046703,23.964239,236.889999
8/19/2013,19.236063,37.760113,22.896151,25.989645,56.304646,71.163956,148.561813,46.500637,23.637291,235.529999
8/20/2013,19.464031,38.086037,23.053175,26.051172,56.627224,71.475639,149.29213,46.754448,23.858206,236.860001
8/21/2013,19.071928,37.577271,22.856895,25.751205,56.508369,71.230095,148.372467,46.231445,23.654964,235
8/22/2013,19.158556,37.37854,23.190571,26.012712,56.983727,71.928978,149.724945,46.439102,23.81402,235.570007
8/23/2013,19.085606,37.847557,23.445736,26.374214,57.00071,72.410645,150.229874,46.823662,24.052599,235.820007
8/26/2013,18.894104,37.314941,23.386852,26.012712,56.830948,72.448433,149.670822,46.469872,23.946566,235.399994
8/27/2013,19.05825,37.322887,23.141502,25.91272,56.041512,70.96563,147.263489,46.00071,23.672634,231.240005
8/28/2013,19.112959,37.012859,22.709684,25.828119,56.499889,71.239525,147.786407,45.893036,23.672634,231.440002
8/29/2013,19.35005,38.0145,22.807825,25.881962,56.627224,71.740097,148.020844,46.616001,23.893549,234.5
8/30/2013,19.190472,37.664722,22.915779,26.020407,56.558952,71.277313,147.551956,46.485245,23.681475,233.020004
9/3/2013,19.486834,36.575645,23.592949,25.628139,56.960022,71.683441,148.219177,46.631382,23.716816,234.399994
9/4/2013,19.63273,37.187756,24.181789,25.951181,57.412292,72.448433,149.44548,47.238983,23.911219,237.779999
9/5/2013,19.395643,37.076458,24.122906,25.643517,57.881618,72.57119,149.634735,47.277435,23.81402,238.210007
9/6/2013,19.368284,36.837975,24.073837,25.697361,58.043758,72.656212,149.706863,47.315891,23.761002,237.619995
9/9/2013,19.286217,36.496147,24.27993,25.866571,59.136024,73.506218,151.140472,47.761982,24.043766,241.479996
9/10/2013,19.532425,36.941326,24.79026,26.128084,59.810139,73.865089,152.25853,48.115772,24.361872,242.869995
9/11/2013,19.970121,36.981064,25.074867,26.128084,58.103485,73.723419,152.736374,48.308056,24.538603,244.610001
9/12/2013,19.828791,37.640877,24.966913,26.443438,58.717876,73.676201,152.330627,48.408035,24.423727,243.600006
9/13/2013,20.04764,37.966801,24.250488,26.397289,58.521629,73.723419,152.673294,48.600319,24.441401,244.160004
9/16/2013,20.252808,38.396076,24.211233,26.589581,58.103485,73.525085,153.55687,48.97718,24.335367,244.690002
9/17/2013,20.266487,38.610714,24.623423,26.728027,59.238422,74.016205,154.242111,48.907959,24.450235,245.630005
9/18/2013,20.184418,38.729958,24.731377,26.881855,59.426147,74.903946,156.027374,49.700146,24.679981,248.839996
9/19/2013,20.248245,38.563007,24.593979,26.774172,59.272552,75.083443,155.765884,49.400196,24.62697,247.570007
9/20/2013,20.24369,37.982697,24.505653,26.389599,58.931217,74.825775,154.676758,48.923347,24.379545,245.360001
9/23/2013,20.033957,38.141693,24.456583,26.320377,58.862961,74.674202,153.960983,49.107929,24.476749,243.75
9/24/2013,19.919975,37.577271,24.966913,26.220387,58.461876,74.674202,153.598587,49.192524,24.466963,244.089996
9/25/2013,19.719362,37.322887,25.595013,26.189617,58.666683,74.418427,153.154663,49.26944,24.582544,245.690002
9/26/2013,20.106907,37.895245,25.63427,26.328068,58.769093,74.996284,153.743561,49.692463,24.769245,243.080002
9/27/2013,20.398706,37.36264,25.585197,26.135777,57.497612,74.901543,153.036865,49.630924,24.591434,240.809998
9/30/2013,20.662024,37.100307,25.487057,26.012712,57.446423,74.721558,152.221466,49.361736,24.520309,241.669998
10/1/2013,20.886406,37.354687,25.948318,26.197311,57.591473,75.479385,153.426437,49.723225,24.742579,243.240005
10/2/2013,20.813141,37.195709,26.115156,26.105009,57.75362,75.450974,153.281479,49.930882,24.769245,244.360001
10/3/2013,20.611647,37.37059,25.987574,25.874264,57.267212,74.569992,151.868073,49.830894,24.555872,241.669998
10/4/2013,20.900146,37.442131,25.889433,25.958876,58.043758,75.214165,153.018723,50.015488,24.618107,242.889999
10/7/2013,20.652859,37.593174,25.46743,26.151161,57.335491,74.588943,151.695938,49.907803,24.618107,242.009995
10/8/2013,20.433052,37.022362,25.339846,25.808195,56.618679,73.149086,149.929169,49.392506,24.253592,238.520004
10/9/2013,20.300257,37.14296,24.888401,26.307053,56.072552,72.921753,150.037903,49.623234,24.280258,237.350006
10/10/2013,20.767347,37.673573,25.487057,26.618839,57.036812,74.465797,153.272415,50.476948,24.760357,242
10/11/2013,21.09248,37.858482,25.722593,26.657814,57.642685,75.053108,154.26001,50.738453,25.009293,244.479996
10/14/2013,21.275656,37.633373,25.987574,26.43956,57.813347,75.58358,154.876114,50.846127,25.000402,245.380005
10/15/2013,21.243599,37.239433,25.702967,26.275873,58.171753,75.28994,153.75264,50.576942,24.902605,243.630005
10/16/2013,21.513775,37.987114,26.360508,26.657814,58.769093,76.142479,155.899918,51.3922,25.231562,245.300003
10/17/2013,21.738169,39.313656,26.929722,26.844885,58.624012,76.578209,156.941833,52.092091,25.658308,245.949997
10/18/2013,21.541254,40.206043,27.175072,26.9774,58.368023,77.819176,158.001907,52.353588,25.889462,248.089996
10/21/2013,21.56415,40.664314,26.85121,27.452869,58.683743,77.989685,158.010925,52.645855,25.809444,248.660004
10/22/2013,21.687799,41.114525,26.959162,27.460672,58.81176,78.103355,158.926041,52.861214,25.916138,248.229996
10/23/2013,21.50462,40.85725,26.890465,27.499638,57.207493,77.629723,158.164978,52.484333,25.809444,245.759995
10/24/2013,21.870968,40.53566,27.067118,26.992992,57.122154,77.970749,158.690445,52.453571,25.862787,245.449997
10/25/2013,22.05872,40.768822,27.047489,27.429485,58.25708,78.52964,159.415329,52.315136,25.916138,245.25
10/28/2013,22.086203,40.656261,26.929722,27.725685,58.487476,78.548592,159.669006,52.484333,26.031715,244.960007
10/29/2013,21.848076,41.074322,27.184887,28.271317,58.820274,78.681206,160.52066,52.845821,26.253981,247.169998
10/30/2013,21.56415,40.624104,27.302654,28.263517,58.914162,78.605423,159.723328,52.545868,26.165071,245.899994
10/31/2013,21.797697,40.608025,27.214327,28.216757,59.298149,78.425438,159.270309,52.592014,26.067274,244.399994
11/1/2013,22.278532,40.591946,27.371351,28.247932,59.648033,78.444382,159.650864,52.592014,25.845009,244.070007
11/4/2013,22.063301,41.06628,27.812984,28.411615,59.366417,78.558067,160.212585,52.776604,26.10284,244.779999
11/5/2013,21.907598,40.278408,27.597076,27.694508,58.88855,78.643311,159.7052,52.145927,26.067274,246.889999
11/6/2013,21.893867,40.688423,27.508751,27.920555,59.51149,78.624374,160.52066,52.553558,26.129507,247.240005
11/7/2013,21.632837,40.334682,26.066086,27.367128,57.250145,77.146606,158.491135,51.538326,25.578293,243.699997
11/8/2013,22.063301,40.358799,27.165258,27.413895,57.557362,78.188606,160.629395,51.807522,25.711653,247.020004
11/11/2013,21.683214,40.165855,26.46846,27.30477,57.702427,78.065468,160.656555,51.692154,25.569405,246.330002
11/12/2013,21.513775,40.326641,25.604826,27.413895,58.461876,78.188606,160.330399,51.661381,25.551617,247.570007
11/13/2013,21.701538,40.189972,25.565569,27.335953,59.758945,79.135918,161.616928,51.88443,25.578293,249.970001
11/14/2013,21.838913,40.415073,25.025797,27.406105,60.774426,79.382187,162.423294,51.999794,25.498278,237.190002
11/15/2013,21.857225,40.447235,25.565569,27.616562,61.585087,79.533752,163.130035,52.430504,25.631638,238.529999
11/18/2013,21.696955,40.809025,25.506685,27.749069,61.38884,78.756996,162.559189,52.561256,25.676088,236.869995
11/19/2013,21.733593,40.825089,25.614641,27.842611,61.303478,78.52964,162.205872,52.461262,25.489388,236.610001
11/20/2013,21.45425,40.519588,25.869806,27.593174,60.612282,78.340179,161.698486,51.969028,25.276012,234.190002
11/21/2013,21.729012,40.503506,26.281996,27.515228,61.192554,79.135918,163.003159,52.292065,25.444929,236.880005
11/22/2013,22.676937,40.374878,25.938503,27.608765,62.259228,79.562172,163.818558,52.361282,25.338243,237.050003
11/25/2013,22.855536,40.206043,25.63427,27.569792,61.858166,79.75164,163.655472,52.268982,25.240446,234.910004
11/26/2013,22.795998,40.238209,25.850178,27.499638,62.848026,80.168427,163.700775,52.284374,25.409372,235.529999
